harpnumber,SHARP_FILE,BITMAP,goes_class
8,hmi.sharp_cea_720s.8.20100505_180000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100505_180000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100505_190000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100505_190000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100505_200000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100505_200000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100505_210000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100505_210000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100505_220000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100505_220000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100505_230000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100505_230000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_000000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_000000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_010000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_010000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_020000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_020000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_030000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_030000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_040000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_040000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_050000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_050000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_060000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_060000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_070000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_070000_TAI.bitmap.fits,M1.2
8,hmi.sharp_cea_720s.8.20100506_080000_TAI.magnetogram.fits,hmi.sharp_cea_720s.8.20100506_080000_TAI.bitmap.fits,M1.2
